Time,hour,minute,second,X-axis (g),Y-axis (g),Z-axis (g),Locomotion_Chloe,Feeding_Chloe,Locomotion_Steven,Feeding_Steven,IteragreementLocom,IteragreementFeeding
15:19:59,15,19,59,0.445313,0.816406,-0.097656,Walking,other,Walking,other,WalkingWalking,otherother
15:20:00,15,20,0,0.386719,1.011719,0.492188,Walking,other,Walking,other,WalkingWalking,otherother
15:20:01,15,20,1,0.796875,1.136719,-0.105469,Walking,other,Walking,other,WalkingWalking,otherother
15:20:02,15,20,2,0.605469,0.71875,0.195313,Walking,other,Walking,other,WalkingWalking,otherother
15:20:03,15,20,3,0.316406,1.332031,-0.523438,Walking,other,Walking,other,WalkingWalking,otherother
15:20:04,15,20,4,0.328125,1.390625,-0.144531,Walking,other,Walking,other,WalkingWalking,otherother
15:20:05,15,20,5,0.101563,0.789063,-0.488281,Walking,other,Walking,other,WalkingWalking,otherother
15:20:06,15,20,6,0.367188,0.847656,-0.222656,Walking,other,Walking,other,WalkingWalking,otherother
15:20:07,15,20,7,0.464844,0.535156,0.515625,Walking,other,Walking,other,WalkingWalking,otherother
15:20:08,15,20,8,0.171875,0.894531,-0.097656,Walking,other,Walking,other,WalkingWalking,otherother
15:20:09,15,20,9,0.335938,1.136719,-0.5,Walking,other,Walking,other,WalkingWalking,otherother
15:20:10,15,20,10,0.097656,1.015625,0.078125,Walking,other,Walking,other,WalkingWalking,otherother
15:20:11,15,20,11,-0.375,0.941406,-0.023438,Walking,other,Walking,other,WalkingWalking,otherother
15:20:12,15,20,12,-0.101563,0.71875,-0.15625,Walking,other,Walking,other,WalkingWalking,otherother
15:20:13,15,20,13,0.554688,0.488281,-0.980469,Walking,other,Walking,other,WalkingWalking,otherother
15:20:14,15,20,14,0.3125,1.226563,-0.457031,Standing,other,Standing,other,StandingStanding,otherother
15:20:15,15,20,15,0.003906,0.453125,-0.832031,Standing,other,Standing,other,StandingStanding,otherother
15:20:16,15,20,16,0.070313,0.929688,-0.140625,Standing,other,Standing,other,StandingStanding,otherother
15:20:17,15,20,17,0.375,0.578125,-0.511719,Standing,other,Standing,other,StandingStanding,otherother
15:20:18,15,20,18,0.453125,1.261719,0.609375,Standing,other,Standing,other,StandingStanding,otherother
15:20:19,15,20,19,0.71875,0.5,0.464844,Standing,other,Standing,other,StandingStanding,otherother
15:20:20,15,20,20,0.585938,0.550781,-0.195313,Standing,other,Standing,other,StandingStanding,otherother
15:20:21,15,20,21,0.164063,0.746094,-0.578125,Standing,other,Standing,other,StandingStanding,otherother
15:20:22,15,20,22,0.292969,0.832031,-0.53125,Standing,other,Standing,other,StandingStanding,otherother
15:20:23,15,20,23,0.328125,0.738281,-0.433594,Standing,other,Standing,other,StandingStanding,otherother
15:20:24,15,20,24,0.242188,0.597656,-0.585938,Standing,other,Standing,other,StandingStanding,otherother
15:20:25,15,20,25,0.257813,0.820313,-0.476563,Standing,other,Standing,other,StandingStanding,otherother
15:20:26,15,20,26,-0.144531,0.625,-0.152344,Standing,other,Standing,other,StandingStanding,otherother
15:20:27,15,20,27,0.097656,1.308594,0.261719,Standing,other,Standing,other,StandingStanding,otherother
15:20:28,15,20,28,0.035156,0.996094,-0.457031,Standing,other,Standing,other,StandingStanding,otherother
15:20:29,15,20,29,-0.140625,1.996094,1.710938,Standing,other,Standing,other,StandingStanding,otherother
15:20:30,15,20,30,0.351563,0.65625,-0.082031,Standing,other,Standing,other,StandingStanding,otherother
15:20:31,15,20,31,0.214844,0.933594,-0.117188,Standing,other,Standing,other,StandingStanding,otherother
15:20:32,15,20,32,0.21875,0.578125,-0.265625,Standing,other,Standing,other,StandingStanding,otherother
15:20:33,15,20,33,0.472656,0.800781,-0.546875,Standing,other,Standing,other,StandingStanding,otherother
15:20:34,15,20,34,0.371094,0.710938,-0.523438,Standing,other,Standing,other,StandingStanding,otherother
15:20:35,15,20,35,-0.730469,1.289063,-0.3125,Standing,other,Standing,other,StandingStanding,otherother
15:20:36,15,20,36,0.304688,0.871094,-0.386719,Standing,other,Standing,other,StandingStanding,otherother
15:20:37,15,20,37,-2,1.996094,-2,Standing,other,Standing,other,StandingStanding,otherother
15:20:38,15,20,38,0.558594,0.722656,-0.046875,Standing,other,Standing,other,StandingStanding,otherother
15:20:39,15,20,39,0.46875,0.929688,-0.628906,Standing,other,Standing,other,StandingStanding,otherother
15:20:40,15,20,40,0.265625,0.722656,-0.535156,Standing,other,Standing,other,StandingStanding,otherother
15:20:41,15,20,41,0.257813,0.75,-0.59375,Standing,other,Standing,other,StandingStanding,otherother
15:20:42,15,20,42,0.238281,0.707031,-0.539063,Standing,other,Standing,other,StandingStanding,otherother
15:20:43,15,20,43,0.253906,0.710938,-0.5625,Standing,other,Standing,other,StandingStanding,otherother
15:20:44,15,20,44,0.246094,0.726563,-0.546875,Standing,other,Standing,other,StandingStanding,otherother
15:20:45,15,20,45,0.4375,0.601563,-0.289063,Standing,other,Standing,other,StandingStanding,otherother
15:20:46,15,20,46,0.621094,0.664063,-0.085938,Standing,other,Standing,other,StandingStanding,otherother
15:20:47,15,20,47,0.640625,0.734375,-0.015625,Standing,other,Standing,other,StandingStanding,otherother
15:20:48,15,20,48,0.667969,0.722656,-0.039063,Standing,other,Standing,other,StandingStanding,otherother
15:20:49,15,20,49,0.617188,0.667969,0.003906,Standing,other,Standing,other,StandingStanding,otherother
15:20:50,15,20,50,0.585938,0.632813,0.019531,Standing,other,Standing,other,StandingStanding,otherother
15:20:51,15,20,51,0.617188,0.546875,0.1875,Standing,other,Standing,other,StandingStanding,otherother
