Date,Time,Locomotion,Feeding
8/15/2024,15:00:01,standing,Other
8/15/2024,15:00:47,walking,Other
8/15/2024,15:01:01,standing,Other
8/15/2024,15:02:30,walking,Other
8/15/2024,15:02:38,standing,Other
8/15/2024,15:03:57,walking,Other
8/15/2024,15:04:05,standing,Other
8/15/2024,15:04:12,walking,Other
8/15/2024,15:04:24,standing,Other
8/15/2024,15:05:01,walking,Other
8/15/2024,15:05:11,standing,Other
8/15/2024,15:05:40,walking,Other
8/15/2024,15:05:50,stanindg,Other
8/15/2024,15:06:15,walking,Other
8/15/2024,15:06:26,standing,Other
8/15/2024,15:07:31,walking,Other
8/15/2024,15:07:44,standing,Other
8/15/2024,15:07:46,walking,Other
8/15/2024,15:07:57,standing,Other
8/15/2024,15:08:06,walking,Other
8/15/2024,15:08:17,standing,Other
8/15/2024,15:10:14,walking,Other
8/15/2024,15:10:19,standing,Other
8/15/2024,15:12:26,walking,Other
8/15/2024,15:12:30,staning,Other
8/15/2024,15:13:39,walking,Other
8/15/2024,15:12:53,standing,eating
8/15/2024,15:14:53,walking,Other
8/15/2024,15:14:58,standing,Other
8/15/2024,15:15:46,walking,Other
8/15/2024,15:15:58,standing,Other
8/15/2024,15:16:26,walking,Other
8/15/2024,15:16:30,standing,Other
8/15/2024,15:22:36,walking,Other
8/15/2024,15:22:43,standing,Other
8/15/2024,15:26:22,walking,Other
8/15/2024,15:26:30,standing,Other
8/15/2024,15:26:42,walking,Other
8/15/2024,15:26:49,standing,Other
8/15/2024,15:33:17,walking,Other
8/15/2024,15:33:29,standing,Other
8/15/2024,15:33:47,walking,Other
8/15/2024,15:33:55,standing,Other
8/15/2024,15:34:39,walking,Other
8/15/2024,15:34:54,standing,Other
8/15/2024,15:36:27,walking,Other
8/15/2024,15:36:41,standing,Other
8/15/2024,15:42:03,standing,ruminating
8/15/2024,15:51:31,walking,Other
8/15/2024,15:51:53,standing,ruminating
8/15/2024,15:52:55,walking,Other
8/15/2024,15:53:01,standing,Other
8/15/2024,15:53:11,walking,Other
8/15/2024,15:53:42,standing,Other
8/15/2024,15:55:53,walking,Other
8/15/2024,15:56:01,standing,Other
8/15/2024,15:56:43,walking,Other
8/15/2024,15:57:09,standing,Other
8/15/2024,15:57:47,walking,Other
8/15/2024,15:57:54,standing,Other
8/15/2024,15:58:16,walking,Other
8/15/2024,15:58:27,standing,Other
8/15/2024,15:58:35,walking,Other
8/15/2024,15:58:50,standing,Other
8/15/2024,15:59:05,walking,Other
8/15/2024,15:59:21,standing,Other
8/15/2024,16:00:52,walking,Other
8/15/2024,16:01:11,standing,Other
8/15/2024,16:01:19,walking,Other
8/15/2024,16:01:25,standing,Other
8/15/2024,16:01:53,walking,Other
8/15/2024,16:02:18,standing,Other
8/15/2024,16:02:36,walking,Other
8/15/2024,16:03:10,standing,Other
8/15/2024,16:03:18,walking,Other
8/15/2024,16:03:51,standing,Other
8/15/2024,16:04:03,walking,Other
8/15/2024,16:04:14,standing,Other
8/15/2024,16:04:24,walking,Other
8/15/2024,16:04:35,standing,Other
8/15/2024,16:06:06,walking,Other
